profesor,rating,fecha,calidad_general,facilidad,tags,num_reviews,promedio,resumen,enlace
"Morales Chambert, Brenda",5,07/Sep/2020,10.0,6.0,"PREPÁRATE PARA LEER, DA BUENA RETROALIMENTACIÓN, TOMARÍA SU CLASE OTRA VEZ",1,10.0,"La profesora es excelente. Su enfoque psicoanalítico se combina con una enseñanza imparcial, objetiva y clara. Se adaptó bien a las clases en línea.",https://www.misprofesores.com/profesores/Brenda-Morales-Chambert_124414
"Morales Garduño, Cecilia","4, 1, 2, 2, 1, 5, 4, 4, 5, 4","02/Jul/2025, 05/Feb/2021, 16/Dic/2019, 17/Dic/2018, 27/Jun/2018, 26/Jun/2018, 16/Dic/2017, 11/Ene/2016, 30/Jul/2014, 21/Ago/2012","9.0, 5.0, 6.0, 7.0, 6.0, 3.0, 7.0, 7.0, 9.0, 10.0","8.0, 2.0, 6.0, 10.0, 6.0, 4.0, 4.0, 4.0, 8.0, 6.0","LAS CLASES SON LARGAS, MUCHOS PROYECTOS GRUPALES, BARCO, LA PARTICIPACIÓN IMPORTA, ASISTENCIA OBLIGATORIA, DA BUENA RETROALIMENTACIÓN, MUCHAS TAREAS, PREPÁRATE PARA LEER",10,6.9,"La profesora es amable y linda, pero las clases a veces son largas y la carga de trabajo es excesiva. La profesora proporciona actividades dinámicas y retroalimenta constantemente en el proyecto final, pero la falta de apoyo en las prácticas y la inconsistencia en la entrega de calificaciones genera frustración. La clase es aburrida y se centra más en la tarea que en el aprendizaje. La experiencia en el escenario es valiosa, pero la profesora es exigente y dominante. La profesora tiene sentido humano y es recomendable por su experiencia y conocimientos teóricos.",
"Morales, Guadalupe","4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5","07/Ene/2020, 10/Dic/2019, 14/Ene/2019, 05/Ago/2018, 04/Ago/2018, 04/Ago/2018, 04/Ago/2018, 03/Ene/2017, 03/Ene/2017, 18/Ene/2016, 18/Ene/2016, 03/Ene/2017, 03/Ene/2017, 18/Ene/2016, 18/Ene/2016","8.0, 7.0, 7.0, 10.0, 10.0, 9.0, 8.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0","6.0, 8.0, 6.0, 10.0, 10.0, 8.0, 4.0, 6.0, 6.0, 10.0, 10.0, 6.0, 6.0, 10.0, 10.0","MUY CÓMICO, MUCHOS EXÁMENES, LOS EXÁMENES SON DIFÍCILES, LAS CLASES SON LARGAS, CLASES EXCELENTES, ASPECTOS DE CALIFICACIÓN CLAROS, INSPIRACIONAL, DA BUENA RETROALIMENTACIÓN, TOMARÍA SU CLASE OTRA VEZ, CALIFICA DURO, MUCHAS TAREAS, PREPÁRATE PARA LEER, BRINDA APOYO, DA CRÉDITO EXTRA",16,8.1,"La profesora en cuestión es altamente calificada y tiene un don para la docencia. Sus clases son amenas y didácticas, y aunque puede ser algo tediosa, se asegura de que los estudiantes comprendan la materia. Es una excelente profesora que se preocupa por el aprendizaje de sus alumnos y utiliza ejemplos enriquecedores. Se recomienda ampliamente, y se destaca su compromiso con el aprendizaje de los estudiantes. Las lecturas que envía pueden ser confusas a veces, pero en general, es una buena profesora. Los comentarios sobre sus clases son generalmente positivos, y se la considera la mejor profesora en su área.",https://www.misprofesores.com/profesores/Guadalupe-Morales_71247
"Moran Cruz, Alejandra","2, 4","23/Jul/2013, 23/Ene/2013","7.0, 8.0","8.0, 8.0",,3,8.3,"La clase es fácil de seguir, pero no garantiza aprendizaje significativo. La profesora es buena, pero estricta con las faltas y los trabajos. Es recomendable si enseña bien y es agradable, pero no te confíes, ya que evalúa con rigor. El curso es llevadero y no es pesado.",https://www.misprofesores.com/profesores/ALEJANDRA-MORAN-CRUZ_51677
"Moran Martinez, Maria Concepcion","1, 1, 2, 2, 4, 4, 2, 2, 2, 2, 1, 1, 2, 2, 4, 4, 2, 2, 2, 2, 3, 3, 1","02/Jul/2024, 02/Jul/2024, 03/Jul/2023, 03/Jul/2023, 21/Ene/2023, 21/Ene/2023, 27/Jul/2022, 27/Jul/2022, 16/Ago/2021, 16/Ago/2021, 02/Jul/2024, 02/Jul/2024, 03/Jul/2023, 03/Jul/2023, 21/Ene/2023, 21/Ene/2023, 27/Jul/2022, 27/Jul/2022, 16/Ago/2021, 16/Ago/2021, 12/Ago/2021, 10/Jul/2021, 25/Jun/2019","6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 5.0, 5.0, 4.0, 4.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 5.0, 5.0, 4.0, 4.0, 5.0, 8.0, 7.0","10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 2.0, 2.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 2.0, 2.0, 10.0, 10.0, 10.0, 10.0, 10.0","LAS CLASES SON LARGAS, DEJA TRABAJOS LARGOS, BARCO, MUCHAS TAREAS, BRINDA APOYO",8,5.9,"La clase de la profesora es muy aburrida y poco útil para aprender el tema. No explica bien los conceptos y las tareas no son relevantes para el contenido. Es fácil pasar con ella, pero no se aprende nada importante. Se recomienda buscar otra opción si se desea aprender de manera efectiva.",https://www.misprofesores.com/profesores/MARIA-CONCEPCION-MORAN-MARTINEZ_71740
"Moreno Camacho, Sotero",1,05/Jul/2022,5.0,2.0,"ASISTENCIA OBLIGATORIA, BARCO",1,5.0,"La clase es insatisfactoria, con poco contenido y trabajos improvisados. El profesor hace comentarios clasistas y machistas, lo que hace que no sea recomendable.",https://www.misprofesores.com/profesores/SOTERO-MORENO-CAMACHO_154751
"Moreno Wonchee, Patricia Guillermina","4, 3, 4, 2, 3, 5, 2, 3, 1, 5, 2, 3, 2","26/Jul/2022, 25/Ene/2022, 25/Ago/2021, 24/Ago/2021, 15/Feb/2021, 06/Feb/2021, 12/Ene/2020, 18/Jul/2019, 03/Abr/2018, 04/Ene/2018, 16/Dic/2017, 07/Jul/2017, 31/Ene/2016","6.0, 5.0, 8.0, 5.0, 4.0, 6.0, 8.0, 4.0, 3.0, 7.0, 8.0, 9.0, 4.0","10.0, 8.0, 10.0, 6.0, 10.0, 10.0, 8.0, 10.0, 6.0, 10.0, 10.0, 10.0, 10.0","LAS CLASES SON LARGAS, BARCO, LA PARTICIPACIÓN IMPORTA, ASISTENCIA OBLIGATORIA, MUCHAS TAREAS, PREPÁRATE PARA LEER, BRINDA APOYO, ASPECTOS DE CALIFICACIÓN CLAROS",14,5.6,"La clase con Edith y su adjunta es aburrida y tediosa. La profesora habla mucho de política y se queja mucho durante sus clases. La adjunta es quien brinda apoyo a los estudiantes y da la clase. La clase es fácil de pasar, pero se recomienda participar mucho y entregar todo en tiempo y forma. La experiencia de los estudiantes con la profesora y su adjunta es negativa, pero se puede pasar con facilidad.",https://www.misprofesores.com/profesores/PATRICIA-GUILLERMINA-MORENO-WONCHEE_67541
"Moreno, Sotero","1, 3, 3, 4, 1, 5, 4, 2, 3, 3, 5, 3, 2, 3, 5, 5, 4","03/Sep/2021, 11/Feb/2021, 01/Feb/2021, 01/Dic/2019, 15/Feb/2018, 10/Jul/2017, 24/Jul/2014, 01/Jul/2014, 07/Feb/2014, 27/Jul/2013, 19/Jun/2013, 19/Dic/2012, 14/Jul/2012, 03/Feb/2012, 25/Ene/2012, 06/Ene/2012, 28/Jul/2011","2.0, 6.0, 7.0, 10.0, 2.0, 10.0, 8.0, 5.0, 4.0, 6.0, 8.0, 6.0, 7.0, 7.0, 10.0, 9.0, 7.0","2.0, 10.0, 6.0, 10.0, 6.0, 8.0, 8.0, 10.0, 6.0, 8.0, 10.0, 8.0, 10.0, 10.0, 8.0, 8.0, 8.0","BARCO, LA PARTICIPACIÓN IMPORTA, ASISTENCIA OBLIGATORIA, CALIFICA DURO, DA BUENA RETROALIMENTACIÓN, TOMARÍA SU CLASE OTRA VEZ, INSPIRACIONAL, MUCHAS TAREAS, PREPÁRATE PARA LEER, BRINDA APOYO",6,7.8,"El profesor es un buen clínico, pero no es adecuado para materias contextuales o sociales. Es exigente con la asistencia y puntualidad. Es inteligente, elocuente y agradable, pero puede llegar a faltar o llegar tarde. Es recomendable para materias de clínica, pero no para materias de contexto o social. No es muy bueno en psicopatología y desórdenes orgánicos.",https://www.misprofesores.com/profesores/Sotero-Moreno_32980
"Moreno, Sotero","1, 3, 3, 4, 1, 5, 4, 2, 3, 3, 5, 3, 2, 3, 5, 5, 4","03/Sep/2021, 11/Feb/2021, 01/Feb/2021, 01/Dic/2019, 15/Feb/2018, 10/Jul/2017, 24/Jul/2014, 01/Jul/2014, 07/Feb/2014, 27/Jul/2013, 19/Jun/2013, 19/Dic/2012, 14/Jul/2012, 03/Feb/2012, 25/Ene/2012, 06/Ene/2012, 28/Jul/2011","2.0, 6.0, 7.0, 10.0, 2.0, 10.0, 8.0, 5.0, 4.0, 6.0, 8.0, 6.0, 7.0, 7.0, 10.0, 9.0, 7.0","2.0, 10.0, 6.0, 10.0, 6.0, 8.0, 8.0, 10.0, 6.0, 8.0, 10.0, 8.0, 10.0, 10.0, 8.0, 8.0, 8.0","BARCO, LA PARTICIPACIÓN IMPORTA, ASISTENCIA OBLIGATORIA, CALIFICA DURO, DA BUENA RETROALIMENTACIÓN, TOMARÍA SU CLASE OTRA VEZ, INSPIRACIONAL, MUCHAS TAREAS, PREPÁRATE PARA LEER, BRINDA APOYO",6,7.8,"El profesor es un buen clínico, pero no es adecuado para materias contextuales o sociales. Es exigente con la asistencia y puntualidad. Es inteligente, elocuente y agradable, pero puede llegar a faltar o llegar tarde. Es recomendable para materias de clínica, pero no para materias de contexto o social. No es muy bueno en psicopatología y desórdenes orgánicos.",https://www.misprofesores.com/profesores/Sotero-Moreno_32981
"Moreno, Sotero","1, 3, 3, 4, 1, 5, 4, 2, 3, 3, 5, 3, 2, 3, 5, 5, 4","03/Sep/2021, 11/Feb/2021, 01/Feb/2021, 01/Dic/2019, 15/Feb/2018, 10/Jul/2017, 24/Jul/2014, 01/Jul/2014, 07/Feb/2014, 27/Jul/2013, 19/Jun/2013, 19/Dic/2012, 14/Jul/2012, 03/Feb/2012, 25/Ene/2012, 06/Ene/2012, 28/Jul/2011","2.0, 6.0, 7.0, 10.0, 2.0, 10.0, 8.0, 5.0, 4.0, 6.0, 8.0, 6.0, 7.0, 7.0, 10.0, 9.0, 7.0","2.0, 10.0, 6.0, 10.0, 6.0, 8.0, 8.0, 10.0, 6.0, 8.0, 10.0, 8.0, 10.0, 10.0, 8.0, 8.0, 8.0","BARCO, LA PARTICIPACIÓN IMPORTA, ASISTENCIA OBLIGATORIA, CALIFICA DURO, DA BUENA RETROALIMENTACIÓN, TOMARÍA SU CLASE OTRA VEZ, INSPIRACIONAL, MUCHAS TAREAS, PREPÁRATE PARA LEER, BRINDA APOYO",19,7.1,"El profesor es un buen clínico, pero no es adecuado para materias contextuales o sociales. Es exigente con la asistencia y puntualidad. Es inteligente, elocuente y agradable, pero puede llegar a faltar o llegar tarde. Es recomendable para materias de clínica, pero no para materias de contexto o social. No es muy bueno en psicopatología y desórdenes orgánicos.",https://www.misprofesores.com/profesores/Sotero-Moreno_32980
"Moreno, Sotero","1, 3, 3, 4, 1, 5, 4, 2, 3, 3, 5, 3, 2, 3, 5, 5, 4","03/Sep/2021, 11/Feb/2021, 01/Feb/2021, 01/Dic/2019, 15/Feb/2018, 10/Jul/2017, 24/Jul/2014, 01/Jul/2014, 07/Feb/2014, 27/Jul/2013, 19/Jun/2013, 19/Dic/2012, 14/Jul/2012, 03/Feb/2012, 25/Ene/2012, 06/Ene/2012, 28/Jul/2011","2.0, 6.0, 7.0, 10.0, 2.0, 10.0, 8.0, 5.0, 4.0, 6.0, 8.0, 6.0, 7.0, 7.0, 10.0, 9.0, 7.0","2.0, 10.0, 6.0, 10.0, 6.0, 8.0, 8.0, 10.0, 6.0, 8.0, 10.0, 8.0, 10.0, 10.0, 8.0, 8.0, 8.0","BARCO, LA PARTICIPACIÓN IMPORTA, ASISTENCIA OBLIGATORIA, CALIFICA DURO, DA BUENA RETROALIMENTACIÓN, TOMARÍA SU CLASE OTRA VEZ, INSPIRACIONAL, MUCHAS TAREAS, PREPÁRATE PARA LEER, BRINDA APOYO",19,7.1,"El profesor es un buen clínico, pero no es adecuado para materias contextuales o sociales. Es exigente con la asistencia y puntualidad. Es inteligente, elocuente y agradable, pero puede llegar a faltar o llegar tarde. Es recomendable para materias de clínica, pero no para materias de contexto o social. No es muy bueno en psicopatología y desórdenes orgánicos.",https://www.misprofesores.com/profesores/Sotero-Moreno_32981
"Morán, Concepción","2, 2, 3, 3, 5, 3, 4, 5, 4, 3, 2, 2, 3, 4, 4, 5, 2, 4, 4, 5, 1, 4, 2, 3, 1, 3, 5, 4, 5, 2, 4, 4, 2, 4, 5, 5, 3, 4, 4","22/Jul/2025, 18/Jul/2024, 13/Jul/2019, 18/Jun/2019, 10/Jul/2018, 25/Jun/2017, 27/Ene/2017, 22/Jul/2016, 11/Jul/2016, 01/Jun/2016, 08/Ene/2016, 26/Dic/2015, 09/Dic/2015, 16/Jul/2015, 10/Ene/2015, 01/Dic/2014, 12/Ago/2014, 19/Ene/2014, 13/Ene/2014, 28/Dic/2013, 13/Ago/2013, 31/Jul/2013, 27/Jul/2013, 24/Jul/2013, 08/Jul/2013, 30/Jun/2013, 28/Jun/2013, 25/Jun/2013, 25/Jun/2013, 05/Jun/2013, 13/Dic/2012, 12/Abr/2012, 02/Feb/2012, 31/Ene/2012, 24/Ene/2012, 14/Dic/2011, 08/Dic/2011, 07/Nov/2011, 20/Mar/2011","5.0, 7.0, 8.0, 6.0, 6.0, 7.0, 8.0, 7.0, 9.0, 10.0, 8.0, 7.0, 8.0, 7.0, 5.0, 4.0, 10.0, 6.0, 7.0, 10.0, 2.0, 10.0, 8.0, 8.0, 2.0, 2.0, 10.0, 8.0, 10.0, 2.0, 8.0, 9.0, 6.0, 8.0, 10.0, 10.0, 10.0, 8.0, 9.0","8.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 6.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 2.0, 2.0, 8.0, 10.0, 10.0, 2.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 8.0, 10.0","LAS CLASES SON LARGAS, CLASES EXCELENTES, BARCO, LA PARTICIPACIÓN IMPORTA, ASISTENCIA OBLIGATORIA, INSPIRACIONAL, DA BUENA RETROALIMENTACIÓN, MUCHAS TAREAS, POCOS EXÁMENES, BRINDA APOYO, DA CRÉDITO EXTRA",40,7.4,"La clase de la profesora Concepción es fácil de pasar, pero no es recomendable para aquellos que buscan aprender mucho sobre psicología. La clase es tediosa y divaga mucho, pero es sencillo obtener un 10. La profesora es buena persona y accesible, pero su clase no es muy interesante. Es recomendable para personas sensibles a las artes y humanidades, y para aquellos que solo buscan pasar con 10.",
"Mota, Graciela","1, 4, 5, 1, 5, 4","30/Jun/2017, 03/Ene/2017, 09/Ene/2015, 13/Ene/2014, 09/Ago/2013, 11/Ene/2011","2.0, 5.0, 8.0, 2.0, 10.0, 8.0","2.0, 6.0, 10.0, 2.0, 10.0, 6.0","LA PARTICIPACIÓN IMPORTA, LAS CLASES SON LARGAS",6,5.8,"La opinión general es que la profesora es muy culta y knowledgeable en su campo, pero tiene varios aspectos negativos. Es impuntual, no corrige adecuadamente a los alumnos, y su forma de impartir clase es repetitiva y poco dinámica. Además, se queja mucho de su trabajo y de los viajes que realiza, lo que lleva a que no asista a clases con regularidad. Es despectiva con los demás y tiene un comportamiento prepotente y pedante. Sin embargo, es buena en la explicación y en mantener a los alumnos atentos con ejercicios y dinámicas. En resumen, a pesar de su falta de asistencia y su actitud, es una profesora muy respetada por su conocimiento y su habilidad para explicar.",https://www.misprofesores.com/profesores/graciela-mota_31455
"Motte, Arlette","2, 4, 3, 3, 4, 4, 5, 5, 5, 4, 5, 3, 4, 4, 3, 5, 3, 4, 3, 4, 5, 4, 5, 3, 4, 4, 2, 5, 5, 4, 5, 3, 3, 2, 3, 1, 1, 5, 4","26/Oct/2024, 23/Ene/2024, 16/Dic/2023, 01/Ago/2023, 23/Jun/2023, 20/Ene/2022, 02/Sep/2021, 17/Ago/2021, 11/Ago/2021, 06/Feb/2021, 13/Sep/2020, 09/Sep/2020, 07/Ago/2020, 25/Jun/2019, 07/Jun/2019, 01/Jul/2017, 20/Jun/2017, 24/Ene/2017, 28/Nov/2016, 15/Ago/2016, 16/Jul/2016, 28/Jun/2016, 24/Jun/2016, 20/Ene/2016, 10/Ene/2016, 03/Jul/2014, 02/Jul/2014, 02/Jul/2014, 02/Jun/2014, 20/Ene/2014, 19/Ene/2014, 13/Ene/2014, 17/Dic/2013, 19/Ene/2013, 12/Ene/2013, 29/Nov/2012, 26/Ago/2012, 30/Ene/2012, 10/Ago/2011","2.0, 10.0, 7.0, 10.0, 10.0, 9.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 9.0, 10.0, 10.0, 10.0, 7.0, 10.0, 10.0, 9.0, 10.0, 10.0, 10.0, 10.0, 10.0, 9.0, 6.0, 10.0, 10.0, 10.0, 9.0, 10.0, 4.0, 2.0, 7.0, 2.0, 3.0, 8.0, 10.0","10.0, 10.0, 6.0, 8.0, 8.0, 8.0, 10.0, 10.0, 10.0, 10.0, 10.0, 8.0, 8.0, 10.0, 10.0, 10.0, 10.0, 8.0, 6.0, 10.0, 8.0, 6.0, 6.0, 10.0, 6.0, 8.0, 10.0, 10.0, 10.0, 8.0, 10.0, 10.0, 6.0, 10.0, 10.0, 2.0, 6.0, 4.0, 8.0","MUY CÓMICO, LAS CLASES SON LARGAS, DEJA TRABAJOS LARGOS, RESPETADO POR LOS ESTUDIANTES, CLASES EXCELENTES, MUCHOS PROYECTOS GRUPALES, BARCO, LA PARTICIPACIÓN IMPORTA, ASISTENCIA OBLIGATORIA, INSPIRACIONAL, DA BUENA RETROALIMENTACIÓN, TOMARÍA SU CLASE OTRA VEZ, MUCHAS TAREAS, PREPÁRATE PARA LEER, BRINDA APOYO, ASPECTOS DE CALIFICACIÓN CLAROS",57,7.5,"El texto describe la experiencia de varios estudiantes con diferentes profesoras en una materia llamada ""Contextual"". Las opiniones varían desde muy positivas hasta muy negativas. Algunas profesoras son descritas como amenas, dinámicas y fáciles de pasar, mientras que otras son aburridas, poco explicativas y tediosas. Las tareas y evaluaciones varían en dificultad y relevancia, pero en general, la mayoría de los estudiantes recomiendan asistir a clase, completar las tareas y entregar todo a tiempo para obtener una buena calificación. La calidad humana y la capacidad de las profesoras para enseñar y motivar a los estudiantes son aspectos destacados en las opiniones. Algunas profesoras son descritas como excelentes en su enseñanza, mientras que otras son consideradas malas o promedio.",https://www.misprofesores.com/profesores/ARLETTE-MOTTE_38042
"Muria, Irene","1, 4, 4, 5, 4, 1, 4, 5, 3, 3, 4, 4, 5, 3, 4, 2, 4, 5, 4, 4, 5, 4, 4, 4, 4, 2, 5, 3, 5","27/Feb/2025, 03/Ene/2025, 06/Ene/2022, 02/Sep/2021, 16/Ago/2021, 16/Ago/2021, 23/Feb/2021, 21/Feb/2021, 09/Feb/2021, 18/Jul/2019, 10/Jul/2019, 25/Jun/2018, 24/Ene/2017, 22/Nov/2016, 11/Ene/2016, 27/Jul/2015, 23/Jul/2015, 08/Jul/2015, 02/Jul/2013, 26/Jun/2013, 31/May/2012, 21/Ene/2012, 10/Ene/2012, 13/Dic/2011, 26/Jul/2011, 24/Jun/2011, 06/Jun/2011, 23/Jun/2010, 28/Abr/2010","6.0, 9.0, 7.0, 10.0, 7.0, 6.0, 9.0, 10.0, 7.0, 10.0, 6.0, 10.0, 10.0, 8.0, 10.0, 7.0, 8.0, 7.0, 6.0, 8.0, 10.0, 9.0, 9.0, 6.0, 10.0, 8.0, 9.0, 10.0, 10.0","6.0, 10.0, 6.0, 10.0, 8.0, 8.0, 8.0, 10.0, 10.0, 10.0, 6.0, 6.0, 10.0, 8.0, 8.0, 8.0, 10.0, 8.0, 6.0, 8.0, 8.0, 8.0, 10.0, 8.0, 8.0, 8.0, 8.0, 10.0, 6.0","LAS CLASES SON LARGAS, DEJA TRABAJOS LARGOS, RESPETADO POR LOS ESTUDIANTES, CLASES EXCELENTES, MUCHOS PROYECTOS GRUPALES, BARCO, POCOS EXÁMENES, INSPIRACIONAL, DA BUENA RETROALIMENTACIÓN, TOMARÍA SU CLASE OTRA VEZ, MUCHAS TAREAS, PREPÁRATE PARA LEER, BRINDA APOYO, ASPECTOS DE CALIFICACIÓN CLAROS",29,8.3,"La clase es aburrida debido a la falta de dinámica y variedad en la enseñanza. Utiliza principalmente diapositivas y videos, lo que puede hacer que la clase sea monótona. Sin embargo, la profesora es muy amable y accesible, y su materia es interesante. La evaluación es clara y se basa en un examen y un trabajo final en equipo. Es fácil pasar la clase con buenas calificaciones si se trabaja mucho y se hace el trabajo final. La profesora es recomendable para el área de psicología de la educación y su enfoque humanista es un punto fuerte.",https://www.misprofesores.com/profesores/Irene-Muria_25445
"Muñoz B Ojalil, Juan Carlos","5, 4, 4, 5, 3, 1, 3, 2, 4, 2, 3, 1, 5, 4, 4, 3, 4, 1, 4, 1, 1, 5, 5, 5, 5, 5, 3, 3, 1, 5, 5, 4, 5, 1, 2, 2, 2, 5, 5, 4, 5, 1, 5, 5, 3, 5, 4, 5, 4, 4, 2, 5, 2, 1, 5","26/Ene/2022, 11/Jun/2021, 28/Sep/2020, 02/May/2018, 10/Ene/2018, 21/Dic/2017, 13/Dic/2017, 15/Mar/2017, 31/Ene/2017, 21/Ene/2017, 29/Dic/2016, 20/Jul/2016, 22/Ene/2016, 10/Ene/2016, 05/Ene/2016, 17/Dic/2015, 09/Oct/2015, 04/Sep/2015, 03/Jun/2015, 14/Mar/2015, 10/Feb/2015, 21/Ene/2015, 07/Ene/2015, 06/Ene/2015, 21/Dic/2014, 20/Dic/2014, 11/Dic/2014, 11/Dic/2014, 10/Dic/2014, 14/Ago/2014, 03/Jul/2014, 04/Feb/2014, 03/Feb/2014, 29/Ene/2014, 22/Ene/2014, 20/Ene/2014, 12/Dic/2013, 02/Dic/2013, 27/Nov/2013, 26/Nov/2013, 19/Jul/2013, 16/May/2013, 15/May/2013, 11/Abr/2013, 14/Ene/2013, 09/Sep/2012, 23/Jun/2012, 13/Jun/2012, 19/Ene/2012, 25/Nov/2011, 06/Oct/2011, 28/Jul/2011, 17/Jun/2011, 11/Jun/2011, 06/Jun/2011","10.0, 10.0, 7.0, 10.0, 4.0, 4.0, 4.0, 9.0, 10.0, 5.0, 7.0, 2.0, 10.0, 6.0, 9.0, 9.0, 10.0, 2.0, 10.0, 4.0, 2.0, 10.0, 10.0, 10.0, 10.0, 10.0, 2.0, 2.0, 2.0, 10.0, 8.0, 7.0, 8.0, 2.0, 4.0, 3.0, 3.0, 10.0, 7.0, 6.0, 8.0, 2.0, 9.0, 6.0, 8.0, 9.0, 5.0, 10.0, 8.0, 10.0, 8.0, 10.0, 2.0, 6.0, 10.0","6.0, 10.0, 6.0, 10.0, 6.0, 8.0, 6.0, 10.0, 10.0, 4.0, 6.0, 2.0, 6.0, 6.0, 6.0, 6.0, 8.0, 4.0, 10.0, 6.0, 6.0, 8.0, 10.0, 8.0, 8.0, 6.0, 4.0, 4.0, 6.0, 10.0, 6.0, 6.0, 6.0, 8.0, 2.0, 10.0, 10.0, 10.0, 6.0, 10.0, 6.0, 2.0, 4.0, 4.0, 6.0, 6.0, 10.0, 10.0, 8.0, 6.0, 8.0, 6.0, 2.0, 6.0, 6.0","DEJA TRABAJOS LARGOS, RESPETADO POR LOS ESTUDIANTES, CLASES EXCELENTES, BARCO, LA PARTICIPACIÓN IMPORTA, ASISTENCIA OBLIGATORIA, INSPIRACIONAL, DA BUENA RETROALIMENTACIÓN, TOMARÍA SU CLASE OTRA VEZ, CALIFICA DURO, PREPÁRATE PARA LEER, BRINDA APOYO",58,7.0,"El profesor Bojalil es un experto en psicoanálisis con una fuerte orientación freudiana y lacaniana. Es conocido por su dominio del tema y su capacidad para transmitir conocimientos de manera interesante. Sin embargo, su estilo de evaluación puede ser considerado riguroso, y a menudo se centra en la participación y la originalidad. Las clases suelen ser exposiciones en equipo, y al final del semestre, los estudiantes deben entregar un ensayo. El profesor es respetado por su sabiduría y su habilidad para motivar a los estudiantes a pensar críticamente y a comprometerse con el aprendizaje. Aunque algunas personas encuentran sus clases demasiado rigurosas o que no siguen el programa establecido, otros lo consideran un profesor excelente y recomendable para aquellos interesados en el psicoanálisis y el aprendizaje profundo.",
"Muñoz Cebada, María Del Rosario","3, 2, 3, 4, 2, 2, 1, 1, 1, 3, 3, 4, 1, 2, 5, 4","18/Ene/2018, 19/Ene/2017, 17/Ene/2017, 07/Nov/2012, 06/Jul/2012, 26/Mar/2012, 25/Jul/2011, 26/Jun/2011, 24/Jun/2011, 12/Jun/2011, 07/Jun/2011, 05/Feb/2011, 27/Ene/2011, 14/Jun/2010, 06/May/2010, 25/Mar/2010","6.0, 5.0, 5.0, 9.0, 8.0, 2.0, 2.0, 2.0, 2.0, 5.0, 10.0, 10.0, 2.0, 5.0, 9.0, 10.0","4.0, 6.0, 4.0, 4.0, 8.0, 2.0, 2.0, 4.0, 2.0, 8.0, 10.0, 6.0, 2.0, 6.0, 4.0, 6.0","LAS CLASES SON LARGAS, LA PARTICIPACIÓN IMPORTA, ASISTENCIA OBLIGATORIA, PREPÁRATE PARA LEER, POCOS EXÁMENES",19,5.2,"La evaluación general de la profesora es mixta. Algunos estudiantes la encuentran ineficiente, aburrida y confusa, especialmente debido a su estilo de enseñanza que se centra en leer diapositivas en lugar de involucrar a los estudiantes. Sin embargo, otros la describen como seria, accesible y clara en su enseñanza. La mayoría de los comentarios sugieren que su evaluación se basa principalmente en exámenes y no en la participación en clase, lo que puede ser una fuente de frustración para algunos estudiantes. Algunos estudiantes también mencionan que su forma de evaluar no coincide con cómo se enseñó al principio. En general, la profesora es descrita como competente en su materia, pero podría mejorar en su estilo de enseñanza y en la claridad de sus explicaciones.",
