profesor,fecha,comentario,calidad_general,facilidad
"CORDOVA ALCARAZ, ALBERTO JAVIER",11/Oct/2015,"Es muy buena persona, pero no sabe enseñar y es demasiado barco, califica con 2 o tres exámenes de cuestionarios de las exposiciones que se presentaron en el semestre. Si quieres aprender busca otra opción",6.0,10.0
"CORDOVA ALCARAZ, ALBERTO JAVIER",08/Ene/2015,"Un maestro regular, con que entres, expongas y pases los exámenes que están super fáciles ya pasaste con 10.",6.0,8.0
"CORDOVA ALCARAZ, ALBERTO JAVIER",09/Dic/2014,Clases muy aburridas.Hace tres exámenes de preguntas de ocpión múltiple o abiertas.,7.0,6.0
"CORDOVA ALCARAZ, ALBERTO JAVIER",14/Ago/2014,Es un profesor muy bueno y sabe del área social.Sus clases tratan principalmente de estocástica y como poder llevar a cabo una correlación antes de usar el SPSS. Sus exámenes son fáciles sí estudias,10.0,8.0
"CORDOVA ALCARAZ, ALBERTO JAVIER",31/Jul/2014,"Como persona es excelente, siempre atento y simpático. Como maestro es bueno, trata de dar lo mejor de sí mismo y de explicar con mayor claridad. Sus exámenes son un poco difíciles, es 100% estadística.",8.0,6.0
"CORDOVA ALCARAZ, ALBERTO JAVIER",09/Jul/2014,"Malo, malo, malo y aburrido, aunque linda persona!!!",5.0,8.0
"CORDOVA ALCARAZ, ALBERTO JAVIER",03/Jul/2014,"Es muy fácil pasar con él,sólo es una exposición en equipo, 2 exámenes bien fáciles (los saca de las preguntas que cada equipo le mande)y asistencia.Sus clases son muy aburridas porque son puras exposiciones y los temas son los mismos que se ven en Historia de la Psicología. Es un amor de persona",10.0,10.0
"CORDOVA ALCARAZ, ALBERTO JAVIER",22/Ene/2014,"En las clases que nos impartió nos hablo de medición y estadistica, las otras clases fueron exposiciones, si intervenia pero casi no se escucha porque habla muy quedito. Su evaluación es el promedio de la calificación de 3 examenes,las preguntas y respuestas las elabora cada equip.No en histor",6.0,10.0
"CORDOVA ALCARAZ, ALBERTO JAVIER",21/Ene/2014,"ES MUY BUENA PERSONA, AUNQUE ES PESIMO DANDO HISTORIA, PARA MÉTODOLOGÍA ES BUENÍSIMO PORQUE ÉL ES INVESTIGADOR, A VECES CUANDO ESTÁ EXPLICANDO SE ADELANTA UN POCO Y NO LE ENTIENDES, PERO SI SE LO PIDES TE EXPLICA, ES SUPER COMPRENSIVO Y TE DEJA USAR FORMULARIO EN SUS EXÁMENES",8.0,6.0
"CORDOVA ALCARAZ, ALBERTO JAVIER",17/Dic/2013,Es un buen maestro.,9.0,8.0
"CORDOVA ALCARAZ, ALBERTO JAVIER",14/Dic/2013,"Si lo que te interesa es pasar la materia muy bien este profesor es la mejor opción, no es exigente, es muy relajado, considerado, etc pero no aprenderás en su clase; repite mucho las cosas y su clase se basa en exposiciones mal hechas de tus compañeros que el no se molesta en corregir",8.0,10.0
"CORDOVA ALCARAZ, ALBERTO JAVIER",20/Jun/2013,"Es un amor de profesor, a veces su clase es tediosa, sus exámenes son algo difíciles y si le tienes que estudiar pero te ayuda muchísimo y si aprendes.",9.0,6.0
"CORDOVA ALCARAZ, ALBERTO JAVIER",28/Mar/2013,Una buena enseñanza es lo que brinda este maestro con ejemplos en psicología . Aclara dudas nunca falta,10.0,10.0
"CORDOVA ALCARAZ, ALBERTO JAVIER",27/Mar/2013,"La estadistica y la metodologia son materias que nos ayuda a comprenderla, hace sus clases amenas a pesar de ser puros numeros y los relaciona con aspectos de la psicologia, los examenes son laboriosos pero muy completos y claros",10.0,4.0
"CORDOVA ALCARAZ, ALBERTO JAVIER",26/Mar/2013,"Me parece buen maestro, nos va guiando y si hay alguna duda la resuelve. los examens de estadistica son muy complicados",9.0,6.0
"CORDOVA ALCARAZ, ALBERTO JAVIER",21/Ene/2013,"Es mega fácil pasar, sólo es exposciones todo el semestre el examen de opción múltiple lo hacen los alumnos osea q puedes tener las respuestas pero si se da cuenta lo hace abierto, con el es 10 garantizado pero en historia no aprendes nada y te la llevas relax.",6.0,10.0
"CORDOVA ALCARAZ, ALBERTO JAVIER",21/Ene/2013,"Es un profesor que no exige mucho, pero si sabes aprender de exposiciones y acompletar esa información con investigación aprendez, es fácil pasar con el , si quieres pasar fácil porque otras clases te exigen más es buena opción.",8.0,10.0
"CORDOVA ALCARAZ, ALBERTO JAVIER",17/Ene/2013,"Mmmm no aprendes nada, falta mucho, es muy buena onda, todo el semestre son exposiciones muy mal hechas por compañeros de clase, los exámenes son una mentada de madre porque te da una ""guía"" antes de ellos en donde vienen todas las respuestas.El inscribirte con el es fingir o simular que aprendes.",4.0,10.0
"CORDOVA ALCARAZ, ALBERTO JAVIER",09/Ene/2013,"Excelente persona,sabe mucho y es muy accesible, puras exposiciones de equipos algo aburridas y examenes de opcion multiple pero estan regalados, no aprendes mucho pero te la pasas suave.",9.0,10.0
"CORDOVA ALCARAZ, ALBERTO JAVIER",27/Nov/2012,Betito es la ondita. Es muy buen pedo y su clase son puras exposiciones por equipos. Sus exámenes son lo que sigue de fáciles.,10.0,10.0
"CORDOVA ALCARAZ, ALBERTO JAVIER",26/Oct/2012,"Es un buen profesor, aunque hay veces que no llega, la verdad sabe dar la clase, eso si no debes faltar ,por que eso cuenta para él, es la onda Betito :)",7.0,8.0
"CORDOVA ALCARAZ, ALBERTO JAVIER",03/Oct/2012,"es muy buena onda, es un genio en metodologia y estadistica, te ayuda mucho pero creo que es un poco timido",10.0,8.0
"CORDOVA ALCARAZ, ALBERTO JAVIER",20/Ene/2012,"buena onda...su clase te aburre en ocaciones, pero la verdad es super facil pasar con el...con un examen y una exposcicion ya estas!!!",6.0,8.0
"CORDOVA ALCARAZ, ALBERTO JAVIER",19/Ene/2012,[Comentario esperando revisión],6.0,6.0
"Coreno Rodríguez, Víctor",03/Ene/2018,"Su clase se dividió en dos partes. Una asistencia en la facultad en donde tenían que exponer los alumnos en donde era favoritista. La otra, era ir a prácticas (más bien, trabajar por él) a la colonia Hidalgo (si querías pasar debías ir cada sábado de 9 a 2) en un tema que nada tenía que ver.",4.0,6.0
"Coreno Rodríguez, Víctor",13/Sep/2017,No recomendado. Ha acosado a algunas de sus estudiantes y hace comentarios impropios frente a ellas.,4.0,10.0
"Coreno Rodríguez, Víctor",18/Ago/2017,"Su clase no es difícil, tampoco es muy exigente. Es atento y te escucha, pero ya se le va un poco la hebra y llega a ser confuso. Sin embargo la razón por la que no lo recomiendo es porque acosa a las alumnas que le gustan.",7.0,8.0
"Coreno Rodríguez, Víctor",26/Jul/2017,"El da clase de Psicología Ambiental y es en lo que se enfoca, evalua con un trabajo final super facil en el que tienes que remodelar un lugar, tambien evalua por exposiciones, las cuales si van acorde al termario y ya. Referente a la practica, el no la dio y su adjunta es mucho más exigente.",10.0,10.0
"CORRES, PATRICIA",29/Jun/2023,"Es una excelente profesora, conoce muy bien su materia que incluso ha escrito libros de temas relacionados y a la fecha recuerdo sus clases con gratitud por abrirme la mente a los temas de filosofía y su relación con la psicología.",10.0,10.0
"CORRES, PATRICIA",16/Ago/2021,"No me gusto su clase. Solo nos ponía a ver un vídeo diciendo exactamente lo que nos había dejado leer. Aunque si le preguntas, te contestará todas tus dudas. Su clase no se ajustó al temario. Y sólo calificó con un examen, la mitad de preguntas son teoría y la otra son para reflexionar",10.0,10.0
"CORRES, PATRICIA",21/Jul/2021,"La clase se basa en tres libros que son sumamente cortos y muy bien explicados, además la profesora te aclara cada duda que tengas. Sus exámenes son de reflexión.",10.0,8.0
"CORRES, PATRICIA",06/Feb/2021,"Durante el semestre en línea sus clases se basaron en sus libros y están perfectamente explicados, manda una grabación explicándola y la otra clase de la semana es ocupada para aclarar las dudas de la grabación y de la lectura. Se preocupa para ue entiendas y las participaciones valen el 20%.",10.0,10.0
"CORRES, PATRICIA",14/Sep/2020,"Es súper linda, te ayuda mucho a reflexionar y contesta todas las dudas. A pesar de la pandemia aprendió a usar zoom y brindó su apoyo por completo. Únicamente calificó con un ensayo final y participaciones sobre los capítulos de su libro en las sesiones.",10.0,10.0
"CORRES, PATRICIA",14/Sep/2020,"(En línea) A pesar de ser grande, se preocupó muchísimo porque aprendiéramos y aprendió a usar zoom. Es un amor, si tienes dudas le puedes preguntar lo que sea. Sólo nos hizo 1 examen más o menos difícil y así nos calificó, explica las cosas súper claro y aunque no leas aprenderás viendo los videos,",10.0,8.0
"CORRES, PATRICIA",03/Sep/2020,"Paty es muy buena profesora, sólo calificó con la entrega de un ensayo final. Al inicio iba a calificar con exámenes y el ensayo, pero por lo de la pandemia fue complicado hacer los exámenes. Es muy fácil pasar, siempre y cuando leas lo que pide y sobre todo pongas atención. La recomiendo muchísimo.",10.0,10.0
"CORRES, PATRICIA",18/Jul/2019,"Excelsa y brillante, escucharla hablar como si conociera a los filósofos siempre es un deleite , deja lecturas de las que habla en clase, califica con tres exámenes y un ensayo , la tomaría siempre .",10.0,10.0
"CORRES, PATRICIA",24/Jun/2019,"Aunque es una profesora grande, sus clases son muy bonitas sin pones atención, si no, seguro te dormirás. Puedes no entrar y leer su libro, ya con eso pasas.",9.0,10.0
"CORRES, PATRICIA",20/Jun/2019,"La doctora Patricia es excelente en la materia, me gustó mucho. La verdad es muy fácil aprobar con buena calificación. Sus exámenes no son tan difíciles como muchos dicen, eso sí, no vayas con la idea que son los típicos exámenes. Le tienes que pensar muchísimo, sus preguntas casi son retóricas :')",9.0,10.0
"CORRES, PATRICIA",11/Dic/2018,"Lees mucho, tienes que participar, hace 2 examenes y te deja ensayos. En mi caso, por los paros, 1 examen y los ensayos cambiaron por una exposición. Muy buena persona.",8.0,10.0
"CORRES, PATRICIA",18/Jul/2018,Es muy buena profesora pues trata que entiendas la importancia que han tenido las distintas posturas filosóficas para la psicología.,9.0,6.0
"CORRES, PATRICIA",16/Jun/2017,"De las mejores docentes de la facultad. Es súper linda, te enseña muchísimo y siempre está dispuesta a ayudarte. Vale la pena tomar materias con ella, pero si no lees no será fácil pasar.",10.0,10.0
"CORRES, PATRICIA",31/Ene/2017,[Comentario esperando revisión],2.0,10.0
"CORRES, PATRICIA",28/Dic/2016,"Sus clases son muy interesantes, explica muy bien, es una profesora muy preparada pocas como ella, Los exámenes son faciles si lees y pones atención. Muy recomendable es excelente.",9.0,8.0
"CORRES, PATRICIA",22/Dic/2016,"Es una buena maestra, tiene muchísimo conocimiento sobre diferentes disciplinas y siempre está dispuesta a resolver dudas, pero si no te interesa el tema se te hará muy tedioso. Puedes asistir a clase y prestar muchísima atención. O puedes leer las lecturas atentamente para presentar sus examenes.",8.0,4.0
"CORRES, PATRICIA",22/Dic/2016,"La clase es aburrida si no te involucras, deja lecturas y califica con dos examenes, volveria a cursar la materia con ella",8.0,8.0
"CORRES, PATRICIA",28/Nov/2016,Una excelente clase. Califica solo con dos exámenes de lo que ella da en clase y de libros.,6.0,6.0
"CORRES, PATRICIA",19/Jul/2016,Es bastante amable y su libro es muy bueno. Lástima que se concentre sólo en la perspectiva que más le gusta a ella (Levinas) y no revise modelos de éticos más importantes para la práctica psicológica.,8.0,10.0
"CORRES, PATRICIA",06/Jul/2016,Es una profesora muy clara en sus explicaciones y accesible. En la clase se abordan muchos filósofos. Sus exámenes son fáciles si lees y asistes a clase. Es una excelente profesora y persona.,8.0,6.0
"CORRES, PATRICIA",11/Abr/2016,"Excelente profesora si lo que quieres es aprender, es clara en lo que quiere transmitir, tienes que leer para entender y participar si no quieres aburrirte, puede ser un poco tedioso pero saldrás con muy buenos conocimientos. En sus exámenes tienes que entender el tema y no solo memorizar.",8.0,4.0
"CORRES, PATRICIA",19/Ene/2016,"Es ma. en filosofía de la ciencia y Dra en sociología del conocimiento por la Sorbona. Tiene un amplio conocimiento de filosofía y psicología y además lo transmite muy bien, usa sus propios libros, escritos ex profeso para sus clases, son muy densos pero sintetizan muy bien a los autores, es un must",10.0,8.0
"CORRES, PATRICIA",11/Ene/2016,"Es una persona muy preparada y entusiasmada, sin embargo su clase es meramente filosófica donde usa sus libros para la evaluación y estos son muy pesados y reutiliza ideas una y otra vez. El examen son 4 preguntas y si cuesta trabajo.",6.0,4.0
"CORRES, PATRICIA",16/Dic/2015,"Es muy buena profesora, aunque a veces algo tediosa. Su clase se basa en 2 libros de su autoria, los cuales son muy repetitivos. No es fácil sacar 10 con ella.",6.0,4.0
"CORRES, PATRICIA",10/Dic/2015,"Sabe mucho de Filosofía pero su clase es pesada porque habla demasiado (y muy lento), a veces divaga y tienes que participar muchísimo para que te ubique. Tienes que comprar sus libros o sacar copias, sus exámenes son relativamente sencillos pero no es tan fácil pasar con 10",8.0,6.0
"CORRES, PATRICIA",08/Dic/2015,"Sus clases están basadas en sus propios libros que no son nada buenos, están muy mal redactados y son simples resúmenes. Cuando se quiere abordar un poco más sobre algún punto del libro recurre a repetir lo mismo que dice en libro y los mismos ejemplos. No la recomiendo.",6.0,8.0
"CORRES, PATRICIA",24/Jul/2015,"La clase y la profesora son tan buenos como uno quiera, ella es un gran ser humano que transmite conocimientos complejos de forma sencilla. Los libros que escribe son hechos para el apoyo de los alumnos. Los exámenes son sencillos si uno lee y escucha la clase. la profesora brinda apoyo y siempre escucha a los alumnos.",7.0,8.0
"CORRES, PATRICIA",20/Jun/2015,"¡Excelente profesora! Sus clases, aunque pueden llegar a ser cansadas por tanta información, son de otro nivel: explica temas complejos de manera muy clara y siempre relaciona lo que se analiza, con el quehacer del psicólogo. Además, ella es un gran ser humano. La recomiendo. :)",10.0,10.0
"CORRES, PATRICIA",11/Jun/2015,"Sabe mucho, pero no lo puede transmitir. Es frustrante ver cómo su gran potencial no se explota por alumnos que no pueden seguirle el paso.",6.0,8.0
"CORRES, PATRICIA",25/May/2015,"Decepción como profesora y como persona. no tiene ética profesional e irónicamente también da esa materia. No la recomiendo, no dudo que algunos les haya funcionado, pero si ella se equivoca en algo nunca lo admitirá, aunque se lleve entre las patas a los alumnos.",3.0,6.0
"CORRES, PATRICIA",09/Ene/2015,"La verdad es que es muy aburrida, da una cátedra muy grande y pone muchas cosas en el pizarrón y te haces bolas, hace exámenes de 5 preguntas, debes comprar sus dos libros y de ahí saca e examen. Sabe mucho de filosofía no de psicología, es chistosita, pero muy aburrida.",4.0,6.0
"CORRES, PATRICIA",10/Dic/2014,"Es muy linda. Su clase está llena de filosofía, pero eso no es malo. Es interesante, pero como habla muy bajo puede tornarse aburrida. Muy fácil de pasar, hace dos exámenes, con leer sus libro tienes, le gusta que reflexiones más que memorizar.",7.0,8.0
"CORRES, PATRICIA",11/Nov/2014,"Se ve que sabe de filosofía pero no de psicología y no hace nada de investigación, puro bla bla bla.",2.0,2.0
"CORRES, PATRICIA",10/Nov/2014,Se basa sólo en sus libros y es muy cerrada con otras opiniones.,3.0,2.0
"CORRES, PATRICIA",15/Ene/2014,"Hay que leer y a veces es difícil el material. Si no lees, la clase es extremadamente aburrida. Muchos piensan que es poco objetiva, pero a mi me parece una muy buena profesora. Tiene buen humor y es respetuosa. Sí la recomiendo :)",8.0,6.0
"CORRES, PATRICIA",30/Jul/2013,"Excelente profesora, clara, critica y comprometida con la materia que imparte. sus libros son intresentas y si estudias bien puedes sacar muy buena calificacion",10.0,6.0
"CORRES, PATRICIA",06/Jun/2013,"Sus libros si se leen a profundidad son para digerirse en mas de un semestre, pero las explicaciones son claras. Es una clase de mucha reflexión. Ideal para quien quiera conocer filosofía y entender un poco su relación con la carrera. simplemente, EXCELENTE.",10.0,4.0
"CORRES, PATRICIA",17/May/2013,Asombrosa.,10.0,10.0
"CORRES, PATRICIA",11/Abr/2013,"Una maestra con amplia experiencia y gran actitud para trabajar con sus alumnos. En lo personal, creo que es un gran ejemplo.",9.0,10.0
"CORRES, PATRICIA",06/Feb/2013,no tiene ética profesional y curiosamente enseña esa materia,2.0,6.0
"CORRES, PATRICIA",29/Ene/2013,"Es muy buena, pero obvio sí no te gusta la filosofía ni la metas. Pero entenderás el origen de la psicología y como se separa para llegar al área de experimental. A pesar de su formación admira mucho a Skinner. Es de lo mejor que puede haber en la facultad",8.0,6.0
"CORRES, PATRICIA",23/Ene/2013,[Comentario esperando revisión],2.0,2.0
"CORRES, PATRICIA",21/Ene/2013,"Es excelente profesora. Siempre que tengas una pregunta, te responderá de la manera más clara posible. Si lees a conciencia y utilizas sus apuntes para que te guien en la lectura, es realmente fácil. Sí hay que leer, sí hay que estudiar, pero sus clases son las mejores que he tenido en la facultad.",10.0,8.0
"CORRES, PATRICIA",09/Ene/2013,,8.0,4.0
"CORRES, PATRICIA",18/Dic/2012,"con paty nada de echar flojera en clase, tienes que leer demasiado y algunos textos son complicados, así que no esperes pasar con 10 sin haberte llevado una buena friega, tienes que leer muy bien pues solo evalúa con 2 exámenes no hay reposición, ni final ni nada. sobre advertencia no hay engaño.",8.0,4.0
"CORRES, PATRICIA",27/Sep/2012,,10.0,8.0
"CORRES, PATRICIA",30/Jul/2012,,9.0,4.0
"CORRES, PATRICIA",26/Jul/2012,"Dicen que es muy buena profesora, en mi sicera opinion, no lo es tanto... Lei sus dos libros pregunte lo que crei necesario, sin embargo para 5 preguntas de dos libros en un examen final, no se me hace ni justo ni una buena evaluacion, una de sus preguntas fue un tema que solo se toco una ves en una clase durante si a caso 5 minutos,si tiene muchisimos conocimeintos pero cuando le preguntas algo aveces solo da rodeos pero al final no contesta loq en realidad preguntaste.",4.0,2.0
"CORRES, PATRICIA",29/Jun/2012,"Es muy linda persona y buena profesora si es algo aburrida su clase pero vale la pena, califica solo con examenes abiertos pero son faciles.",8.0,8.0
"CORRES, PATRICIA",22/Jun/2012,"No dudo que sea una profesora con muchos conocimientos, pero me sorprende que pueda dar una clase de Ëtica Profesional, cuando ella misma no la aplica para con sus estudiantes. Si te toca la de malas y se equivoca al calificarte, dificilmente aceptará su error.",4.0,6.0
"CORRES, PATRICIA",19/Jun/2012,"Neutral porque la verdad su clase es buena pero nesecitas dedicacion y mucho tiempo para salir bien, en total te deja leer 2 libros a lo largo del semestre, hace 2 examenes de ellos, si repruebas uno te vas a su final es dificil no te garantisa que pases con leer sus libros solo ara 5 preguntas.",7.0,6.0
"CORRES, PATRICIA",05/Jun/2012,,9.0,8.0
"CORRES, PATRICIA",27/May/2012,"Maneja niveles de complejidad tales, que incluso leer neuro se hace más fácil. El material que deja es muy interesante, eso aunado a las reflexiones dentro del salón de clases.... Definitivamente una gran profesora, con una capacidad de análisis admirable. Y un amor de mujer.",9.0,6.0
"CORRES, PATRICIA",12/Abr/2012,Excelente profesora. La admiro!!!,10.0,4.0
"CORRES, PATRICIA",24/Ene/2012,"La he tenido 2 semestres y voy por el tercero con ella. Es una persona super culta y siempre dispuesta a explicar, super amable y linda. Deja leer mucho y casi siempre las lecturas son complicadas pero en clase se resuelven todas las dudas. La recomiendo ampliamente! :D",10.0,8.0
"CORRES, PATRICIA",16/Ene/2012,"buena profesora y muy fácil pasar con ella, auqnue si tienes q leer para pasar los examenes",10.0,10.0
"CORRES, PATRICIA",13/Ene/2012,"LA AMO de verdad es una SUPER profesora, HUMILDE y con un ENORME CONOCIMIENTO. Sus examenes son faciles pero sus lecturas DIFICILES, pero ella siempre te explica todo, resuelve dudas es horrible que muchos no entren y digan que sus clses dan hueva, saqué 10 y me fui con mucho conocimiento",10.0,10.0
"CORRES, PATRICIA",10/Ene/2012,"La mejor profesora de la facultad. Su clase es muy interesante. Si quieres entras, sus examenes son sobre sus libros. Yo recomendaria que entraran a sus clases son lo mejor",10.0,10.0
"CORRES, PATRICIA",09/Ene/2012,"Muy buen curso, muy mala maestra... Los autodidactas se sentirán a gusto con ella, no con su calificación, pero si con lo que aprenderán.",10.0,10.0
"CORRES, PATRICIA",05/Ene/2012,"No se por qué hay personas que no le dan la maxima calificacion en facilidad... realmente es una excelente maestra por que te pregunta lo que enseña! Amable, comprensiva y tiene un gran sentido del humor. A veces la clase puede ser aburrida y tediosa pero poniendo atencion te garantizas un 10",10.0,10.0
"CORRES, PATRICIA",04/Ene/2012,"Excelente profesora. De las mejores de la facultad. Sabe muchísimo, te ayuda y sobre todo, muy sencilla, no es grosera. Siempre te recibe muy amable. La recomiendo al 100% un amor de maestra..!",10.0,8.0
"CORRES, PATRICIA",01/Ene/2012,"En dos palabras: LA AMO, es una excelente maestra, ama lo que hace y se nota, sabe enseñar y explica muy bien, te hace pensar y aprender, sobre su clase tienes que leer sus libros que la verdad vale la pena comprarlos y los examenes son de sus libros y de lo visto en clase que es practicamente lo mismo pero mas divertido. LA FORTUNA TE ACOMPAÑA si te toca como maestra.",10.0,8.0
"CORRES, PATRICIA",14/Dic/2011,"muy buena profesora sabe lo que dice, se apoya mucho en las lecturas, tiene claridad al hablar, solo que cuando lo hace llega un punto en que si no le pones mucha atencion te pude aburrir, pero en general muy buena",10.0,8.0
"CORRES, PATRICIA",14/Dic/2011,Es una buena investigadora y como profesora tiene un defecto que habla muy bajito y eso hace que la clasee sea aburrida sino se le presta atencion demas como su area es filosofia sus lecturas para transdisciplina son buenas pero aburridas,8.0,8.0
"CORRES, PATRICIA",14/Dic/2011,"Increíble profesora, realmente ama lo que hace. Muy bien preparada (con doctorado en la Sorbona, universidad de París). Es un encanto de persona, simpática, agradable y modesta. Si quieres aprender, ella es la opción. Lo único que tiene en contra es que su voz es algo bajita. Simplemente excelente.",10.0,6.0
"CORRES, PATRICIA",13/Dic/2011,"Estupensa maestra explica bien,la clase no es aburrida y es muy graciosa que mas quieren, hace 2 examenes abiertos de entre 3 y 4 preguntas.",10.0,10.0
"CORRES, PATRICIA",27/Jul/2011,"Es una excelente profesora como en comentarios anteriores, su pasión es la filosia, su clase es amena y muy enriquecedora. Sus examenes son de preguntas abiertas que siempre y cuando hayas puesto atención responderas con facilidad.",10.0,8.0
"CORRES, PATRICIA",26/Jul/2011,"excelente profesora, realmente sabe lo que da y lo que hace, ayuda si realmente lo mereces, filosofía es su pasión, estudió en la Sorbona, sus exámenes son de preguntas abiertas, pero es flexible en las respuestas, claro mientras realmente sepas. leer y participar es básico con ella.",9.0,6.0
"CORRES, PATRICIA",25/Jul/2011,Magnifica! Sin duda alguna es una de las mejores profesoras de la Facultad! Ampliamente recomendable.,10.0,10.0
"CORRES, PATRICIA",19/Jul/2011,"Si lees todo lo que te da, participas y pones atención, aprendes mucho y si al final te falta un poquito ya sea para sacar 10 o para pasar y considera que le echaste ganas te sube cali, realmente sabe explicar, es amena y muy accesible.",9.0,6.0
"CORRES, PATRICIA",19/Jun/2011,"Sencillamente una muy buena profesora, excelente maestra, respetable doctora, filosofa de corazon e imperdible tomar una clase con ella",10.0,10.0
"CORRES, PATRICIA",18/Jun/2011,"increible¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡ la mejor unica, sabe mucho exelente....alcomentario anterio, yo voy a laboral y me parece k si todos los k seguimos eta area la consideraramos funcionaria mejor",10.0,10.0
"CORRES, PATRICIA",17/Jun/2011,"Excelente, nunca estuve en su clase pero aprendi mas y pase logica y filosifia en extraordinario leyendo sus libros... Ojo profesor no apto para futuros psicologos del trabajo y demas poses...",10.0,10.0
"CORRES, PATRICIA",09/Jun/2011,"MUY BUENA PROFESORA TANTO EN EL CONTENIDO COMO EN LA FORMA DE EVALUAR, ES FACIL PASAR SI PONES ATENCION EN SU CLASE Y LEES SUS LIBROS, YA Q SINO NO LE VAS A ENTENDER Y POR LO TANTO LE PIERDES FACILMENTE EL HILO DE LOS TEMAS",9.0,8.0
"CORRES, PATRICIA",07/Jun/2011,"muy buena profesora, la dificultad esta en que debes casi aprenderte sus libros xq sus clases son de eso, si se le cuestiona responde y de verdad retroalimenta muy bien, es buena en lo que hace",9.0,8.0
"CORRES, PATRICIA",26/May/2011,realmente una maravilla poder tenerla en la facultad...esta ahy y debemos aprovecharla es todo excelsas clases,10.0,10.0
"CORRES, PATRICIA",17/May/2011,"LO MEJO DE LA CARRERA¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡ sin duda estar con ella tomar sus clases son lo mas increible tu vida se dividira antes y despues de ella, no hay otra como ella para filosofia es lamejor nadie le gana a esta gran señora.....examenes super faciles la verdad pero el conocimiento que te deja vale la pena",10.0,10.0
"CORRES, PATRICIA",02/Abr/2011,"por la facultad¡¡¡¡¡ esta mujer es increible simplemente unica en lo que hace y si tienes la dicha de estar con ella sera de lo mejor que pudiste probar en la facultad, saeb mucho es increible su clase y los examenes mero tramite super faciles¡¡¡¡",10.0,10.0
"CORRES, PATRICIA",31/Ene/2011,"Considero que es de lo mejor de la facultad en su área. Aunque su voz te duerme y la clase es medio lenta, sus conocimientos son muchos y su manera de enseñar es muy clara. Tienes que ser constante para pasar con buena calificación.",10.0,10.0
"CORRES, PATRICIA",16/Ene/2011,"esta señora sabe todo sobre todo, sus examenes son complicador, pero si pones atencion ya la hiciste",7.0,6.0
"CORRES, PATRICIA",10/Ene/2011,"Bueno de antemano debes saber que imparte el área de Filosofia o todo lo que tenga que ver con esta disciplina. Es EXCELENTE PROFESORA, sabe mucho y te deja pensando en muchas cosas, pone ejemplos de la vida real, tienes que leer para entender de lo que habla, sus examenes son faciles, siempre y cuando hayas leido. Solo si tienes espiritu de filosofo es totalmente recomendable",7.0,8.0
"CORRES, PATRICIA",07/Ene/2011,"es la mejor maestra que he tenido en toda la carrera, es una mujer muy culta e inteligente, las clases se tornan aburridas para algunos porque la clase es debate y si no lees , no tienes nada que aportar a la clase. siempre esta en la mejro disposicion para ayudarte o resolver dudas , es muy amable y muy paciente.",8.0,6.0
"CORRES, PATRICIA",03/Ene/2011,"Es muy buena, no sólo aprendes de filosofía, aprendes mucho de la vda. Es abierta a opiniones y le encanta el debate. Mujer más culta no he conocido jamás.",10.0,6.0
"CORRES, PATRICIA",01/Ene/2011,"explica bien y si lees aprendes, el trato depende de si le caes bien o no pero eso no afecta la calificacion, a vecesla clase se hace aburrida",7.0,8.0
"CORRES, PATRICIA",05/Dic/2010,,10.0,6.0
"CORRES, PATRICIA",03/Dic/2010,"Es muy buena, claro que tienes que pensarle pero da muy bien la clase",10.0,8.0
"CORRES, PATRICIA",02/Dic/2010,"te deja leer y ella explica en clase, si le pones atencion es muy buena, pero a veces aburre un poco",8.0,6.0
"CORRES, PATRICIA",29/Oct/2010,es lo mejor sólo que sus examenes emmm si son de pensarle =),10.0,6.0
"CORRES, PATRICIA",05/Sep/2010,,10.0,4.0
"CORRES, PATRICIA",28/Ago/2010,"es buena, aunque un poco aburrida, no aguantas la clase completa, aemas nunca falta y es super puntual",6.0,6.0
"CORRES, PATRICIA",26/Jun/2010,"Para mí, una excelente maestra",10.0,10.0
"CORRES, PATRICIA",21/Mar/2010,"es muy buena filosofa aunque su metodo de clase es malisimo, se la pasa hablando todo el tiempo y despues de dos horas la clase es tediosa, sus examenes son algo dificiles, pues son de preguntas abiertas sobre sus libros.",4.0,4.0
"CORRES, PATRICIA",19/Mar/2010,"Es muy aburrida y tediosa, solo habla y habla, es muy buena filosofa pero como maestra lo dudo. Solo se basa en sus libros.",3.0,4.0
"CORRES, PATRICIA",19/Mar/2010,es muy mala y aburrida!!,2.0,8.0
"CORRES, PATRICIA",13/Mar/2010,Es una profesora muy buena aunque sus matertias se basan en sus libros,10.0,6.0
"CORRES, PATRICIA",11/Mar/2010,Buena para Filosofia,10.0,10.0
"Corsi Cabrera, María Asunción del Carmelo",06/Ago/2012,,10.0,6.0
"Cortés, Fernando",09/Jun/2012,"De los mejores Profesores del área Educativa. Conoce muy bien los principios que rigen la Educación en este país y es una persona culta. Impresionante, aunque es un profesor mayor se conserva jovial. Inclusive a varios compañeros nos ha dado una lección de vida.",10.0,2.0
"Cortés, Fernando",19/Ene/2012,es exigente pero realmente aprendes con él mas allá de solo psicologia,9.0,8.0
